customer_jid,arrival_ts,start_service_ts,end_ts,teller_jid,wait_time,system_time
customer6576@localhost,1770595434.5085144,1770595434.5085366,1770595439.089833,teller2@localhost,2.2172927856445312e-05,4.581318616867065
customer5749@localhost,1770595436.262931,1770595436.2629626,1770595441.3606822,teller4@localhost,3.147125244140625e-05,5.097751140594482
customer1302@localhost,1770595437.0014014,1770595437.00142,1770595442.4574962,teller1@localhost,1.8596649169921875e-05,5.456094741821289
customer5442@localhost,1770595437.5679643,1770595437.5679812,1770595440.5214903,teller3@localhost,1.6927719116210938e-05,2.953526020050049
customer7797@localhost,1770595438.1388798,1770595439.0899549,1770595442.8436658,teller2@localhost,0.9510750770568848,4.704786062240601
customer7406@localhost,1770595439.982324,1770595440.5215423,1770595444.590822,teller3@localhost,0.5392184257507324,4.6084980964660645
customer2308@localhost,1770595440.9962978,1770595441.3607874,1770595445.4037955,teller4@localhost,0.3644895553588867,4.4074976444244385
customer7212@localhost,1770595441.9816275,1770595442.4575417,1770595446.8568406,teller1@localhost,0.47591423988342285,4.875213146209717
customer1935@localhost,1770595442.5422797,1770595442.8437548,1770595445.17158,teller2@localhost,0.30147504806518555,2.629300355911255
customer5509@localhost,1770595443.1006572,1770595444.5908692,1770595447.1214738,teller3@localhost,1.4902119636535645,4.0208165645599365
customer4142@localhost,1770595443.9897976,1770595445.1717157,1770595449.2724047,teller2@localhost,1.1819181442260742,5.282607078552246
customer9843@localhost,1770595444.3276541,1770595445.4038498,1770595448.916358,teller4@localhost,1.0761957168579102,4.588703870773315
customer3248@localhost,1770595444.9844563,1770595446.8569615,1770595451.0390756,teller1@localhost,1.8725051879882812,6.054619312286377
customer8060@localhost,1770595445.9907725,1770595447.121603,1770595449.9052157,teller3@localhost,1.1308305263519287,3.914443254470825
customer2350@localhost,1770595446.56559,1770595448.916406,1770595454.0048559,teller4@localhost,2.350816011428833,7.439265966415405
customer3114@localhost,1770595447.2686872,1770595449.2724977,1770595453.4836378,teller2@localhost,2.003810405731201,6.2149505615234375
customer8574@localhost,1770595447.7633405,1770595449.905322,1770595452.4888234,teller3@localhost,2.141981601715088,4.725482940673828
customer2879@localhost,1770595448.3293593,1770595451.0391212,1770595455.0967476,teller1@localhost,2.70976185798645,6.767388343811035
customer5049@localhost,1770595448.768668,1770595452.4889033,1770595454.5293965,teller3@localhost,3.7202353477478027,5.760728597640991
customer4845@localhost,1770595449.3337345,1770595453.483766,1770595456.3646877,teller2@localhost,4.150031566619873,7.0309531688690186
customer3018@localhost,1770595449.9916253,1770595454.0049448,1770595456.198209,teller4@localhost,4.013319492340088,6.206583738327026
customer7880@localhost,1770595451.0057995,1770595454.5294492,1770595456.9989142,teller3@localhost,3.5236496925354004,5.993114709854126
customer8433@localhost,1770595451.7710454,1770595455.0968752,1770595459.5529704,teller1@localhost,3.3258297443389893,7.7819249629974365
customer6230@localhost,1770595452.3385885,1770595456.1982698,1770595459.1350274,teller4@localhost,3.8596813678741455,6.796438932418823
customer3787@localhost,1770595453.4985063,1770595456.3648036,1770595458.7512581,teller2@localhost,2.8662972450256348,5.25275182723999
customer3509@localhost,1770595454.0561934,1770595456.999033,1770595462.3660157,teller3@localhost,2.9428396224975586,8.30982232093811
customer8065@localhost,1770595454.9838414,1770595458.7513764,1770595462.820659,teller2@localhost,3.7675349712371826,7.836817502975464
customer5744@localhost,1770595455.9735093,1770595459.1351204,1770595463.5886583,teller4@localhost,3.1616110801696777,7.615149021148682
