ts,queue_len
1770595434.5085144,1
1770595434.5085819,0
1770595434.5294387,0
1770595434.9504595,0
1770595435.4500866,0
1770595436.262931,1
1770595436.2630317,0
1770595436.284787,0
1770595437.0014014,1
1770595437.0014482,0
1770595437.5679643,1
1770595437.5680108,0
1770595438.1388798,1
1770595438.1595423,1
1770595438.4508312,1
1770595438.9499176,1
1770595439.0900278,0
1770595439.982324,1
1770595440.0017471,1
1770595440.5215669,0
1770595440.9962978,1
1770595441.0174115,1
1770595441.3608484,0
1770595441.9816275,1
1770595442.457565,0
1770595442.5422797,1
1770595442.8438025,0
1770595443.1006572,1
1770595443.1213522,1
1770595443.9897976,2
1770595444.3276541,3
1770595444.3485827,3
1770595444.5908914,2
1770595444.9844563,3
1770595445.0053794,3
1770595445.1717947,2
1770595445.4038806,1
1770595445.9907725,2
1770595446.56559,3
1770595446.5860894,3
1770595446.8570642,2
1770595447.1216724,1
1770595447.2686872,2
1770595447.289566,2
1770595447.7633405,3
1770595448.3293593,4
1770595448.3493695,4
1770595448.768668,5
1770595448.9164293,4
1770595449.272547,3
1770595449.3337345,4
1770595449.3554783,4
1770595449.9053733,3
1770595449.9916253,4
1770595450.0128376,4
1770595451.0057995,5
1770595451.02713,5
1770595451.0391605,4
1770595451.7710454,5
1770595452.3385885,6
1770595452.3597782,6
1770595452.450612,6
1770595452.4889321,5
1770595453.4838367,4
1770595453.4985063,5
1770595454.004993,4
1770595454.0561934,5
1770595454.077527,5
1770595454.5294895,4
1770595454.9838414,5
1770595455.004506,5
1770595455.0969799,4
1770595455.9735093,5
1770595455.994663,5
1770595456.198299,4
1770595456.3648717,3
1770595456.755741,4
1770595456.9991024,3
1770595457.305581,4
1770595457.8633604,5
1770595457.8828187,5
1770595458.4862344,6
1770595458.751431,5
1770595459.038583,6
1770595459.1351676,5
1770595459.5531075,4
1770595459.6079564,5
1770595459.629012,5
1770595459.951206,5
1770595460.450225,5
1770595460.950285,5
1770595461.4504716,5
1770595462.042505,4
1770595462.366088,3
1770595462.5081365,4
1770595462.8208368,3
1770595463.0792084,4
1770595463.0991225,4
1770595463.588845,3
1770595464.0077777,4
1770595464.0283346,4
1770595464.450733,4
1770595464.9503903,4
1770595465.4510672,4
1770595466.5151367,5
1770595466.5355372,5
1770595466.6189466,4
1770595466.6901991,3
1770595467.5123463,4
1770595467.5322974,4
1770595467.8419392,3
1770595467.950274,3
1770595467.9538076,2
1770595468.6518002,1
1770595468.9952157,2
1770595469.5856574,3
1770595469.6060307,3
1770595469.9525623,3
1770595471.0158088,4
1770595471.2284753,3
1770595471.4475873,2
1770595471.6129148,3
1770595471.8472366,2
1770595472.1895442,3
1770595472.2105935,3
1770595472.7660787,4
1770595472.7870257,4
1770595473.4925227,5
1770595473.497535,4
1770595473.5143535,4
1770595473.9494386,4
1770595474.9942799,5
1770595475.0153205,5
1770595475.4345474,4
1770595475.4516344,4
1770595475.5849082,3
1770595476.1919525,2
1770595476.3541563,1
1770595476.5022283,2
1770595477.054771,3
1770595477.0751247,3
1770595477.4496827,3
1770595477.951345,3
1770595478.1053872,2
1770595478.4521108,2
1770595478.7184453,1
1770595478.9502773,1
1770595478.9688852,0
1770595479.4512029,0
1770595479.9512384,0
1770595480.4504535,0
1770595481.4974198,1
1770595481.4974735,0
