customer_jid,arrival_ts,start_service_ts,end_ts,teller_jid,wait_time,system_time
customer5263@localhost,1770590687.349512,1770590687.3495352,1770590691.487986,teller3@localhost,2.3126602172851562e-05,4.138473987579346
customer5083@localhost,1770590688.3419824,1770590688.3420057,1770590693.1475077,teller2@localhost,2.3365020751953125e-05,4.805525302886963
customer6900@localhost,1770590689.3468564,1770590689.3468773,1770590691.5525155,teller4@localhost,2.09808349609375e-05,2.2056591510772705
customer4206@localhost,1770590690.3493316,1770590690.3493493,1770590695.112502,teller1@localhost,1.7642974853515625e-05,4.763170480728149
customer1350@localhost,1770590691.3853877,1770590691.4881604,1770590696.5739465,teller3@localhost,0.10277271270751953,5.18855881690979
customer5476@localhost,1770590691.982368,1770590691.9823909,1770590697.048706,teller4@localhost,2.288818359375e-05,5.066338062286377
customer4362@localhost,1770590692.8682475,1770590693.1475542,1770590695.6287847,teller2@localhost,0.27930665016174316,2.7605371475219727
customer2714@localhost,1770590693.874349,1770590695.1125488,1770590699.2006214,teller1@localhost,1.2381997108459473,5.326272249221802
customer4020@localhost,1770590695.3673437,1770590695.6289003,1770590697.8256774,teller2@localhost,0.26155662536621094,2.458333730697632
customer1911@localhost,1770590696.8774743,1770590696.8774974,1770590701.2505357,teller3@localhost,2.3126602172851562e-05,4.373061418533325
customer3815@localhost,1770590697.4498363,1770590697.4498806,1770590699.9010706,teller4@localhost,4.4345855712890625e-05,2.4512343406677246
customer3949@localhost,1770590698.8554804,1770590698.8555064,1770590704.1367939,teller2@localhost,2.5987625122070312e-05,5.281313419342041
customer5462@localhost,1770590699.858237,1770590699.85826,1770590703.5264385,teller1@localhost,2.288818359375e-05,3.668201446533203
customer7260@localhost,1770590701.3463452,1770590701.3463724,1770590706.534758,teller3@localhost,2.7179718017578125e-05,5.18841290473938
customer7901@localhost,1770590702.3508031,1770590702.3509002,1770590706.0770755,teller4@localhost,9.703636169433594e-05,3.7262723445892334
customer3408@localhost,1770590704.351947,1770590704.351979,1770590707.7922127,teller2@localhost,3.1948089599609375e-05,3.440265655517578
customer9859@localhost,1770590705.3493145,1770590705.3493369,1770590709.5751412,teller1@localhost,2.2411346435546875e-05,4.225826740264893
customer6033@localhost,1770590705.9149806,1770590706.0771697,1770590709.8617272,teller4@localhost,0.16218900680541992,3.946746587753296
customer9716@localhost,1770590706.479447,1770590706.5348337,1770590710.7772288,teller3@localhost,0.05538678169250488,4.297781944274902
customer5032@localhost,1770590708.3578415,1770590708.357864,1770590711.3156118,teller2@localhost,2.2411346435546875e-05,2.957770347595215
customer5749@localhost,1770590709.1291037,1770590709.5752609,1770590712.1276884,teller1@localhost,0.44615721702575684,2.998584747314453
customer7809@localhost,1770590709.8541422,1770590709.8618295,1770590712.3619208,teller4@localhost,0.00768733024597168,2.5077786445617676
customer4879@localhost,1770590710.8548226,1770590710.8548605,1770590715.504828,teller3@localhost,3.790855407714844e-05,4.650005340576172
customer1503@localhost,1770590711.4187522,1770590711.4187777,1770590715.7100842,teller2@localhost,2.5510787963867188e-05,4.291332006454468
customer9123@localhost,1770590712.3944004,1770590712.3944283,1770590714.6395888,teller4@localhost,2.7894973754882812e-05,2.2451884746551514
customer8101@localhost,1770590714.1326127,1770590714.1326354,1770590719.2704828,teller1@localhost,2.2649765014648438e-05,5.1378700733184814
customer3775@localhost,1770590714.883171,1770590714.883192,1770590718.9765208,teller4@localhost,2.09808349609375e-05,4.0933496952056885
customer6534@localhost,1770590715.4587781,1770590715.504917,1770590720.6866283,teller3@localhost,0.046138763427734375,5.2278501987457275
customer9613@localhost,1770590716.3489823,1770590716.3490071,1770590720.1763735,teller2@localhost,2.47955322265625e-05,3.8273911476135254
customer4323@localhost,1770590717.3486667,1770590718.9765754,1770590724.140702,teller4@localhost,1.627908706665039,6.792035341262817
