ts,queue_len
1770590687.349512,1
1770590687.349594,0
1770590687.3705633,0
1770590688.3419824,1
1770590688.342038,0
1770590688.3623989,0
1770590689.3468564,1
1770590689.3469112,0
1770590689.368331,0
1770590690.3493316,1
1770590690.3493812,0
1770590690.3699121,0
1770590691.3853877,1
1770590691.4881964,0
1770590691.982368,1
1770590691.9824283,0
1770590692.0032816,0
1770590692.8682475,1
1770590692.8893178,1
1770590693.1475985,0
1770590693.874349,1
1770590693.8948426,1
1770590694.3040392,1
1770590695.1125727,0
1770590695.3673437,1
1770590695.3877316,1
1770590695.6289685,0
1770590695.8052213,0
1770590696.8774743,1
1770590696.8775582,0
1770590697.4498363,1
1770590697.4499478,0
1770590697.4715047,0
1770590697.8050563,0
1770590698.8554804,1
1770590698.855563,0
1770590698.876371,0
1770590699.858237,1
1770590699.858337,0
1770590699.8790357,0
1770590700.3043563,0
1770590701.3463452,1
1770590701.3465307,0
1770590701.366806,0
1770590702.3508031,1
1770590702.3509855,0
1770590702.3717294,0
1770590702.803773,0
1770590703.3048236,0
1770590704.351947,1
1770590704.352065,0
1770590704.3732996,0
1770590705.3493145,1
1770590705.3493938,0
1770590705.9149806,1
1770590706.0772343,0
1770590706.479447,1
1770590706.5013847,1
1770590706.5350623,0
1770590706.8037968,0
1770590707.3043182,0
1770590708.3578415,1
1770590708.35794,0
1770590708.3784292,0
1770590709.1291037,1
1770590709.1502733,1
1770590709.575329,0
1770590709.8541422,1
1770590709.861867,0
1770590709.8735907,0
1770590710.8548226,1
1770590710.8549073,0
1770590711.4187522,1
1770590711.4188688,0
1770590711.43925,0
1770590712.3944004,1
1770590712.3944805,0
1770590712.4153419,0
1770590712.804901,0
1770590713.3053246,0
1770590714.1326127,1
1770590714.1327,0
1770590714.153628,0
1770590714.883171,1
1770590714.8832312,0
1770590715.4587781,1
1770590715.4792535,1
1770590715.5049632,0
1770590716.3489823,1
1770590716.3490765,0
1770590716.370292,0
1770590717.3486667,1
1770590717.6905813,2
1770590718.2539215,3
1770590718.2742417,3
1770590718.8510058,4
1770590718.8734956,4
1770590718.9766078,3
1770590719.2705667,2
1770590719.304511,2
1770590720.1764584,1
1770590720.387871,2
1770590720.4084303,2
1770590720.686716,1
1770590720.8033192,1
1770590721.3032243,1
1770590721.8039613,1
1770590722.2001803,0
1770590722.3040571,0
1770590723.1189475,1
1770590723.1402326,1
1770590723.3037734,1
1770590723.5033715,0
1770590724.3521314,1
1770590724.352234,0
1770590724.3727736,0
1770590724.8039021,0
1770590725.8519282,1
1770590725.8520374,0
1770590725.8734765,0
1770590726.8785427,1
1770590726.878722,0
1770590727.45989,1
1770590727.4599886,0
1770590727.4805522,0
1770590728.3541133,1
1770590728.3542035,0
1770590728.3745291,0
1770590729.1238267,1
1770590729.1446035,1
1770590729.3044922,1
1770590730.273712,0
