ts,queue_len
1770589770.2115197,1
1770589770.2116024,0
1770589770.2313514,0
1770589771.2102032,1
1770589771.2102618,0
1770589771.2308028,0
1770589772.214034,1
1770589772.2140884,0
1770589772.2349887,0
1770589773.2078376,1
1770589773.2078907,0
1770589773.7595804,1
1770589773.7596393,0
1770589774.0879648,1
1770589774.109415,1
1770589774.1821463,1
1770589775.2064798,2
1770589775.3155882,1
1770589775.75974,2
1770589775.779751,2
1770589776.712967,3
1770589776.7348108,3
1770589777.334376,2
1770589777.34721,1
1770589777.7514951,2
1770589778.0927052,3
1770589778.4376087,4
1770589778.8218577,3
1770589779.046638,4
1770589779.159956,3
1770589779.4131255,4
1770589779.4335725,4
1770589779.8529878,3
1770589780.2469194,4
1770589780.2680461,4
1770589780.3069334,3
1770589781.2626386,4
1770589781.8306568,5
1770589782.4029999,6
1770589782.4248629,6
1770589782.5784605,5
1770589782.6247756,4
1770589783.230663,5
1770589783.79585,4
1770589783.8425057,5
1770589784.4394207,6
1770589784.7447538,5
1770589784.7926145,6
1770589784.813222,6
1770589784.8288214,5
1770589785.7876554,6
1770589786.376362,5
1770589786.459876,6
1770589787.053832,7
1770589787.074627,7
1770589787.1803143,7
1770589787.6360683,6
1770589787.9600978,5
1770589788.2350068,6
1770589788.7921407,7
1770589789.158607,6
1770589789.3592315,7
1770589789.3799243,7
1770589790.1381452,6
1770589790.2344916,7
1770589790.810325,8
1770589790.8303137,8
1770589790.9409099,7
1770589791.7764275,8
1770589791.797362,8
1770589792.059217,7
1770589792.5148606,6
1770589792.752282,7
1770589792.7740147,7
1770589793.0523787,6
1770589793.5250468,7
1770589793.8845205,8
1770589793.9047902,8
1770589794.2658484,7
1770589794.7783327,8
1770589795.1671422,9
1770589795.1882198,9
1770589795.6810865,9
1770589795.8893366,8
1770589796.7117612,7
1770589796.764795,8
1770589796.862981,7
1770589797.0256763,6
1770589797.359693,7
1770589797.3798811,7
1770589798.2616267,8
1770589798.8630624,9
1770589798.8842914,9
1770589799.7546914,10
1770589799.9069848,9
1770589800.341068,10
1770589800.7103558,11
1770589800.731195,11
1770589801.2627761,10
1770589801.2780907,9
1770589801.708459,8
1770589801.7971144,9
1770589802.4039314,10
1770589802.959293,11
1770589803.5345356,12
1770589803.5553832,12
1770589803.570679,11
1770589803.7543335,10
1770589804.2311502,11
1770589804.7911317,10
1770589804.7945197,11
1770589805.3443651,12
1770589805.7385738,11
1770589805.975059,12
1770589806.5300708,13
1770589806.5503376,13
1770589806.6807082,13
1770589806.8739443,12
1770589807.3550937,11
1770589807.6368005,10
1770589807.7300012,11
1770589807.750332,11
1770589808.1820505,11
1770589809.2168274,12
1770589809.413142,11
1770589809.774266,12
1770589809.7949252,12
1770589809.9509578,11
1770589810.1809556,11
1770589810.8853395,10
1770589811.2174854,11
1770589811.2374082,11
1770589811.3662198,10
1770589812.2435513,11
1770589812.3342433,10
1770589812.799571,11
1770589812.8207445,11
1770589813.737435,12
1770589813.7576604,12
1770589814.0987196,11
1770589814.1807945,11
1770589814.274712,10
1770589814.63888,9
1770589815.226853,10
1770589815.8015192,11
1770589816.3963501,12
1770589816.4173195,12
1770589816.6806977,12
1770589816.808426,11
1770589817.1810937,11
1770589818.2225232,12
1770589818.2429268,12
1770589819.2305725,13
1770589819.325975,12
1770589819.4301977,11
